A,B,C,D,E,F
0,91,92,308,28028,1552
1,327,335,360,117720,1786
2,207,210,227,46989,1116
3,133,156,362,48146,1785
4,102,74,322,32844,1543
5,338,340,253,85514,1152
6,225,227,248,55800,1125
7,253,258,302,76406,1460
8,156,183,379,59124,1894
9,331,304,275,91025,1326
10,63,79,269,16947,1372
11,95,63,206,19570,1008
12,323,303,321,103683,1574
13,47,45,230,10810,1169
14,269,264,354,95226,1751
15,417,368,288,120096,1459
16,471,475,392,184632,1853
17,362,373,341,123442,1586
18,449,417,292,131108,1454
19,284,301,304,86336,1442
20,459,459,328,150552,1558
21,467,419,318,148506,1530
22,234,223,302,70668,1510
23,398,418,339,134922,1695
24,344,344,328,112832,1619
25,153,124,214,32742,974
26,348,324,338,117624,1706
27,68,35,288,19584,1435
28,242,287,337,81554,1639
29,354,308,392,138768,1950
30,135,128,349,47115,1778
31,363,317,240,87120,1172
32,334,366,325,108550,1639
33,359,359,376,134984,1764
34,36,58,242,8712,1189
35,43,5,365,15695,1782
36,416,454,202,84032,920
37,464,499,350,162400,1717
38,174,210,297,51678,1420
39,65,36,212,13780,1041
40,38,-6,398,15124,2012
41,340,317,293,99620,1401
42,460,415,321,147660,1597
43,418,424,392,163856,1858
44,62,52,351,21762,1739
45,50,46,330,16500,1679
46,355,360,258,91590,1328
47,301,271,341,102641,1685
48,404,367,344,138976,1634
49,355,351,253,89815,1241
50,269,273,205,55145,1034
51,360,402,309,111240,1543
52,108,61,202,21816,1024
53,350,307,389,136150,1849
54,311,284,348,108228,1771
55,41,58,356,14596,1692
56,88,122,344,30272,1653
57,228,269,312,71136,1559
58,93,133,322,29946,1620
59,436,479,263,114668,1262
60,125,79,359,44875,1777
61,447,448,243,108621,1116
62,306,306,325,99450,1534
63,70,76,349,24430,1702
64,426,411,225,95850,1108
65,400,417,207,82800,1017
66,245,212,240,58800,1220
67,361,336,219,79059,1015
68,110,144,390,42900,1936
69,362,394,257,93034,1194
70,177,178,287,50799,1427
71,164,175,334,54776,1595
72,31,66,348,10788,1766
73,138,121,208,28704,981
74,76,53,287,21812,1429
75,89,55,206,18334,1038
76,257,300,390,100230,1867
77,286,293,216,61776,967
78,160,114,353,56480,1715
79,403,400,339,136617,1647
80,436,455,312,136032,1581
81,495,516,286,141570,1384
82,115,76,252,28980,1247
83,224,251,378,84672,1798
84,430,440,207,89010,1054
85,58,91,379,21982,1868
